customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST-00001,Male,0,Yes,No,43,Yes,No,DSL,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),45.7,1975.03,Yes
CUST-00002,Female,1,Yes,Yes,69,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Mailed check,38.09,2628.76,No
CUST-00003,Male,0,No,Yes,63,Yes,No,DSL,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),45.98,2890.31,No
CUST-00004,Male,0,Yes,No,70,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,No,Two year,Yes,Bank transfer (automatic),52.89,3698.92,No
CUST-00005,Male,0,Yes,No,65,Yes,Yes,DSL,No,Yes,No,No,Yes,No,Month-to-month,Yes,Mailed check,43.4,2827.83,Yes
CUST-00006,Female,1,Yes,No,67,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,30.29,2033.11,No
CUST-00007,Male,0,Yes,No,54,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,28.73,1551.9,No
CUST-00008,Male,0,No,No,36,No,No phone service,Fiber optic,No,No,Yes,Yes,Yes,No,Month-to-month,No,Bank transfer (automatic),65.77,2374.49,Yes
CUST-00009,Male,0,No,No,71,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,30.65,2170.73,No
CUST-00010,Female,0,No,No,15,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,No,Credit card (automatic),50.59,753.95,No
CUST-00011,Male,0,No,No,18,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,36.78,667.15,No
CUST-00012,Male,0,No,No,4,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),25.15,,Yes
CUST-00013,Male,0,No,No,11,Yes,Yes,DSL,Yes,Yes,Yes,No,No,No,Month-to-month,No,Mailed check,49.11,538.54,No
CUST-00014,Male,0,No,No,6,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),28.1,169.26,No
CUST-00015,Female,0,Yes,No,51,Yes,Yes,DSL,No,No,No,No,No,Yes,Two year,No,Bank transfer (automatic),43.11,2197.11,No
CUST-00016,Male,0,No,No,58,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,No,One year,Yes,Bank transfer (automatic),46.43,2699.98,No
